time,open,high,low,close,volume
1687872600,243.24000549316406,247.10000610351562,240.85000610351562,245.06520080566406,49230945
1687876200,245.08999633789062,246.3000030517578,241.8000030517578,244.95159912109375,24743514
1687879800,244.9510955810547,245.72999572753906,243.43499755859375,244.7301025390625,17202681
1687883400,244.75,247.50999450683594,244.36000061035156,247.27000427246094,16228643
1687887000,247.3000030517578,250.1999969482422,247.2899932861328,248.91290283203125,21082537
1687890600,248.94000244140625,249.27999877929688,246.5800018310547,249.0137939453125,19312492
1687894200,249.02850341796875,250.389892578125,248.5305938720703,250.1999969482422,12164394
1687959000,249.6999969482422,257.29998779296875,248.88999938964844,257.2950134277344,43536328
1687962600,257.30999755859375,259.8800048828125,254.89999389648438,255.9906005859375,30984827
1687966200,255.99000549316406,258.8800048828125,255.60000610351562,256.20001220703125,20438010
1687969800,256.2049865722656,256.9100036621094,253.89999389648438,256.31988525390625,20522481
1687973400,256.29010009765625,256.989990234375,254.05999755859375,256.2550048828125,15397779
1687977000,256.25,257.1400146484375,254.47999572753906,256.010009765625,16196593
1687980600,255.97999572753906,256.54998779296875,255.3101043701172,256.3999938964844,8945305
1688045400,258.0299987792969,260.739990234375,253.61000061035156,255.47999572753906,40589891
1688049000,255.47999572753906,258.6400146484375,254.1999969482422,258.1260986328125,22360742
1688052600,258.139892578125,258.92999267578125,256.6199951171875,257.6300048828125,15350098
1688056200,257.6214904785156,257.6600036621094,254.4499969482422,256.4255065917969,16109059
1688059800,256.42999267578125,256.69000244140625,254.67999267578125,255.8300018310547,12242348
1688063400,255.85000610351562,257.30938720703125,255.10000610351562,256.32000732421875,13040954
1688067000,256.29998779296875,257.5899963378906,255.83999633789062,257.5299987792969,9094163
1688131800,260.6000061035156,264.239990234375,259.8900146484375,263.4849853515625,36708547
1688135400,263.489990234375,264.45001220703125,262.5299987792969,263.8558044433594,17282027
1688139000,263.8500061035156,263.875,261.6000061035156,263.69500732421875,13867972
1688142600,263.70001220703125,264.0899963378906,263.0299987792969,263.385009765625,9951960
1688146200,263.3800048828125,263.92999267578125,262.55999755859375,262.80999755859375,9358361
1688149800,262.82000732421875,263.1600036621094,262.010009765625,262.9989929199219,11522906
1688153400,262.9800109863281,263.098388671875,261.6300048828125,261.6791076660156,9086213
1688391000,276.489990234375,284.25,276.0799865722656,281.65618896484375,58094907
1688394600,281.6400146484375,282.0199890136719,277.3204040527344,277.7958068847656,25144839
1688398200,277.79998779296875,278.54998779296875,275.1099853515625,277.67999267578125,21690225
1688563800,280.25,282.9393005371094,278.0,280.90460205078125,37722837
1688567400,280.88470458984375,281.34991455078125,278.0299987792969,278.5,19234880
1688571000,278.5,280.20001220703125,277.6000061035156,279.3699951171875,15612276
1688574600,279.3800048828125,281.2300109863281,278.8800048828125,280.79998779296875,14127743
1688578200,280.7900085449219,281.0498962402344,278.75,279.4100036621094,12675485
1688581800,279.44989013671875,282.3900146484375,279.42999267578125,282.32989501953125,15309690
1688585400,282.30999755859375,283.8500061035156,281.80999755859375,282.44000244140625,12527968
1688650200,278.0899963378906,279.9700012207031,272.8800048828125,275.3800048828125,39505205
1688653800,275.3900146484375,276.47918701171875,274.2699890136719,275.20001220703125,18586728
1688657400,275.17999267578125,278.3598937988281,274.9700927734375,277.9372863769531,15746517
1688661000,277.9100036621094,278.7099914550781,276.29998779296875,276.5299987792969,13144999
1688664600,276.5101013183594,277.75,275.57000732421875,277.06500244140625,11938572
1688668200,277.05010986328125,278.20001220703125,276.95001220703125,277.57000732421875,10056467
1688671800,277.55999755859375,277.8399963378906,276.30999755859375,276.5400085449219,7094205
1688736600,278.42999267578125,280.7799987792969,275.2099914550781,276.5899963378906,34795406
1688740200,276.59100341796875,277.8900146484375,274.04998779296875,277.45989990234375,18861599
1688743800,277.45001220703125,279.3800048828125,276.85760498046875,278.6449890136719,13112624
1688747400,278.6400146484375,279.9599914550781,278.1499938964844,279.67498779296875,11645008
1688751000,279.6700134277344,279.7392883300781,278.54998779296875,279.0299987792969,8094367
1688754600,279.0199890136719,279.2200012207031,275.30999755859375,275.42999267578125,13620654
1688758200,275.42999267578125,276.1499938964844,273.7699890136719,274.42999267578125,10745798
1688995800,276.4700012207031,277.5199890136719,267.80010986328125,272.0303955078125,35725553
1688999400,272.0400085449219,272.8699951171875,268.1700134277344,270.05999755859375,19442911
1689003000,270.0450134277344,270.8500061035156,265.1000061035156,267.1199951171875,18872228
1689006600,267.10528564453125,269.2699890136719,266.6300048828125,268.54998779296875,13300263
1689010200,268.6000061035156,269.8900146484375,267.8999938964844,269.43890380859375,11342059
1689013800,269.41119384765625,270.3599853515625,268.4200134277344,268.9400939941406,11601502
1689017400,268.9100036621094,269.70001220703125,268.42999267578125,269.5000915527344,6682521
1689082200,268.6499938964844,270.8500061035156,266.8999938964844,269.6000061035156,28243794
1689085800,269.6000061035156,270.8999938964844,267.5299987792969,268.5799865722656,14866721
1689089400,268.5799865722656,269.19000244140625,266.6600036621094,267.05499267578125,11235426
1689093000,267.07000732421875,268.4599914550781,266.8599853515625,268.44189453125,8771876
1689096600,268.44000244140625,268.57000732421875,266.3699951171875,267.1473083496094,10502632
1689100200,267.1600036621094,269.05999755859375,266.8500061035156,269.0201110839844,8691988
1689103800,269.0400085449219,270.1796875,268.5400085449219,269.82000732421875,7403116
1689168600,276.32501220703125,276.5199890136719,272.0,273.864990234375,32440849
