time,open,high,low,close,volume
1621828800,193.86666870117188,204.82666015625,191.21665954589844,202.14666748046875,103674300
1621915200,202.43666076660156,204.663330078125,198.57000732421875,201.56333923339844,84017700
1622001600,202.52000427246094,208.72332763671875,200.5,206.3766632080078,85917900
1622088000,206.74667358398438,210.3766632080078,205.40333557128906,210.28334045410156,79111800
1622174400,209.5,211.8633270263672,207.4600067138672,208.4066619873047,68211000
1622520000,209.26666259765625,211.26666259765625,206.85000610351562,207.96665954589844,54254700
1622606400,206.7100067138672,207.7866668701172,199.7133331298828,201.7066650390625,69908400
1622692800,200.60000610351562,201.51666259765625,190.4066619873047,190.94667053222656,90335700
1622779200,193.23666381835938,200.20333862304688,192.39999389648438,199.68333435058594,72110700
1623038400,197.27667236328125,203.3333282470703,194.2933349609375,201.7100067138672,67631100
1623124800,207.6699981689453,207.69667053222656,198.5,201.19667053222656,78160200
1623211200,200.72332763671875,203.92999267578125,199.2100067138672,199.5933380126953,49753800
1623297600,201.2933349609375,205.52999877929688,200.1666717529297,203.3733367919922,71758800
1623384000,203.41000366210938,204.18666076660156,200.5066680908203,203.29666137695312,48615900
1623643200,204.07666015625,208.49667358398438,203.05999755859375,205.89666748046875,61272000
1623729600,205.56333923339844,205.59666442871094,199.41000366210938,199.7866668701172,53292300
1623816000,199.17999267578125,202.8333282470703,197.8333282470703,201.6233367919922,66432300
1623902400,200.6300048828125,207.1566619873047,200.44667053222656,205.53334045410156,68104200
1623988800,204.4566650390625,209.4499969482422,203.93333435058594,207.77000427246094,73682700
1624248000,208.16000366210938,210.4633331298828,202.9600067138672,206.94332885742188,74438100
1624334400,206.0833282470703,209.52333068847656,205.1666717529297,207.90333557128906,57476700
1624420800,210.6666717529297,219.06666564941406,210.01333618164062,218.85667419433594,93297600
1624507200,224.99667358398438,232.5399932861328,222.5366668701172,226.60667419433594,137947200
1624593600,229.86000061035156,231.27000427246094,222.89999389648438,223.9566650390625,97490100
1624852800,223.8800048828125,231.56666564941406,223.44000244140625,229.57333374023438,64884600
1624939200,228.21665954589844,229.1699981689453,225.29666137695312,226.9199981689453,52143900
1625025600,226.58999633789062,230.93666076660156,226.04666137695312,226.56666564941406,56774700
1625112000,227.97332763671875,229.3300018310547,224.26666259765625,225.97332763671875,55903500
1625198400,226.32666015625,233.3333282470703,224.4199981689453,226.3000030517578,81163500
1625544000,227.23666381835938,228.0,217.13333129882812,219.86000061035156,69853500
1625630400,221.42333984375,221.89999389648438,212.77333068847656,214.88333129882812,56376000
1625716800,209.4566650390625,218.14332580566406,206.82000732421875,217.60333251953125,68319900
1625803200,217.72666931152344,219.6366729736328,214.89666748046875,218.98333740234375,54421500
1626062400,220.73333740234375,229.0800018310547,220.72000122070312,228.56666564941406,77781000
1626148800,228.77333068847656,231.0933380126953,222.10000610351562,222.84666442871094,62898300
1626235200,223.5833282470703,226.20333862304688,217.6133270263672,217.7933349609375,64923600
1626321600,219.4633331298828,222.04666137695312,212.6266632080078,216.86666870117188,60628800
1626408000,218.22666931152344,218.89999389648438,214.06666564941406,214.74000549316406,49113000
1626667200,209.9633331298828,215.73333740234375,207.09666442871094,215.4066619873047,63891300
1626753600,217.3300018310547,220.79666137695312,213.5,220.1666717529297,46461300
1626840000,219.8699951171875,221.6199951171875,216.76333618164062,218.42999267578125,41859900
1626926400,218.81333923339844,220.72332763671875,214.86666870117188,216.4199981689453,45317100
1627012800,215.45333862304688,216.26666259765625,212.43333435058594,214.4600067138672,43814700
1627272000,216.99000549316406,222.73333740234375,215.70333862304688,219.2066650390625,76009800
1627358400,221.13333129882812,222.1666717529297,209.0800018310547,214.92666625976562,98439900
1627444800,215.6666717529297,218.32333374023438,213.13333129882812,215.66000366210938,48019800
1627531200,216.59666442871094,227.89666748046875,216.26666259765625,225.78334045410156,91183800
1627617600,223.9199981689453,232.50999450683594,223.0,229.06666564941406,88969200
1627876800,233.3333282470703,242.31333923339844,232.8000030517578,236.55667114257812,100847400
1627963200,239.6666717529297,240.88333129882812,233.6699981689453,236.5800018310547,64860900
1628049600,237.0,241.63333129882812,236.30999755859375,236.97332763671875,51007800
1628136000,238.6666717529297,240.31666564941406,237.1366729736328,238.2100067138672,38758800
1628222400,237.3000030517578,238.77667236328125,232.5433349609375,233.03334045410156,46869000
1628481600,236.72332763671875,239.67666625976562,235.0433349609375,237.9199981689453,44145900
1628568000,237.99667358398438,238.8633270263672,233.9600067138672,236.663330078125,40296900
1628654400,237.57000732421875,238.39332580566406,234.73666381835938,235.94000244140625,29401800
1628740800,235.44667053222656,240.93333435058594,233.13333129882812,240.75,52377300
1628827200,241.23666381835938,243.3000030517578,238.1133270263672,239.05667114257812,50194500
1629086400,235.02333068847656,236.5,225.46665954589844,228.72332763671875,68032200
1629172800,224.22000122070312,224.86000061035156,216.27999877929688,221.90333557128906,71163900
1629259200,223.25,231.92333984375,223.11666870117188,229.663330078125,61048200
1629345600,226.07000732421875,228.85000610351562,222.52999877929688,224.49000549316406,42940500
1629432000,227.61666870117188,230.7100067138672,224.56666564941406,226.75332641601562,44525700
1629691200,228.47999572753906,237.3766632080078,226.9166717529297,235.43333435058594,60794700
1629777600,236.89332580566406,238.4066619873047,234.2133331298828,236.163330078125,39249300
1629864000,235.67666625976562,238.99000549316406,234.6666717529297,237.06666564941406,37936800
1629950400,236.10333251953125,238.46665954589844,232.5399932861328,233.72000122070312,39642900
